Short Address;Timer Ino;Range;RX Power;FP Power;Quality;Timer PS;Timer RS
1780;89673.0;222;-5431;-7923;9863;1688473.375;1718065.25
1780;89877.0;217;-5343;-7891;9114;1892477.875;1922069.75
1780;89979.0;221;-5359;-8425;7557;1994480.125;2024071.375
1780;90081.0;223;-5458;-8352;8107;2096482.375;2126072.25
1780;90183.0;222;-5417;-8665;7056;2198484.75;2228075.5
1780;90387.0;219;-5448;-8050;10480;2402489.0;2432088.0
1780;90489.0;217;-5438;-8114;9775;2504491.5;2534079.0
1780;90591.0;218;-5389;-8111;10876;2606493.5;2636084.25
1780;90693.0;219;-5362;-8051;9130;2708495.75;2738081.75
1780;90795.0;220;-5362;-8145;10245;2810498.0;2840094.75
1780;90897.0;219;-5417;-8157;7701;2912500.25;2942093.0
1780;90999.0;221;-5361;-7944;9407;3014502.5;3044090.25
1780;91101.0;214;-5356;-8138;9851;3116504.75;3146094.25
1780;91203.0;218;-5411;-8073;11398;3218506.75;3248099.75
1780;91305.0;217;-5387;-7911;9009;3320509.25;3350098.0
1780;91407.0;220;-5475;-7995;8555;3422511.5;3452102.25
